iter	RMSE
0	0.2286382705
1	0.2219734926
2	0.2155945325
3	0.2098879036
4	0.2049739946
5	0.1992868028
6	0.1937463343
7	0.1886961868
8	0.1836524519
9	0.1789738639
10	0.1746930434
11	0.1711254061
12	0.1669967112
13	0.1626478499
14	0.1585317995
15	0.1546491494
16	0.1511704667
17	0.1477244049
18	0.1444223356
19	0.1414670904
20	0.1384695468
21	0.1355381236
22	0.1321489562
23	0.1290740124
24	0.1251226598
25	0.1222637837
26	0.1192387935
27	0.1162697864
28	0.1130963572
29	0.1107093993
30	0.1082737889
31	0.1051332607
32	0.1027132609
33	0.1008895756
34	0.09874822202
35	0.09650753686
36	0.09442687731
37	0.09206558468
38	0.09016057602
39	0.08819210163
40	0.08597223421
41	0.0840435481
42	0.08242992955
43	0.08069328215
44	0.07917392437
45	0.07727972808
46	0.07570432039
47	0.07443773484
48	0.07262087561
49	0.07124328149
50	0.07002314962
51	0.06848644556
52	0.06727043508
53	0.06631655055
54	0.06483100264
55	0.06368017688
56	0.06244860051
57	0.0612217
58	0.06045683493
59	0.05942327357
60	0.05848089975
61	0.057576525
62	0.05665809296
63	0.05586012425
64	0.05486142649
65	0.0538407853
66	0.05287229764
67	0.05198430213
68	0.05104314328
69	0.05025890432
70	0.04953437521
71	0.04857463802
72	0.04784054345
73	0.04702185218
74	0.04630078903
75	0.04549245619
76	0.04471660748
77	0.0439634821
78	0.04324089374
79	0.04304297428
80	0.04253930779
81	0.04198740988
82	0.04131954751
83	0.04063630744
84	0.04005244407
85	0.03945627074
86	0.0388306077
87	0.03821146979
88	0.03761808782
89	0.03703855581
90	0.03659819309
91	0.03631223735
92	0.03578166333
93	0.03523374707
94	0.03472155292
95	0.03417755614
96	0.03366313227
97	0.03316029055
98	0.03267494247
99	0.0321845081
100	0.03171105104
101	0.03123090209
102	0.03076131938
103	0.03034123511
104	0.02994329727
105	0.02952207316
106	0.02911468283
107	0.02871146159
108	0.02833566618
109	0.02796782996
110	0.0275795044
111	0.02718531236
112	0.02681388926
113	0.02644695116
114	0.02609142629
115	0.02576971489
116	0.02544089567
117	0.02509342827
118	0.02478364641
119	0.02446114103
120	0.0241456274
121	0.02383696751
122	0.02353470996
123	0.02325065387
124	0.02295994365
125	0.02268511562
126	0.02241705891
127	0.02212614293
128	0.02186633339
129	0.02160088915
130	0.02135135297
131	0.02110294926
132	0.02083659483
133	0.02059183837
134	0.02036397031
135	0.02012814317
136	0.01990713385
137	0.01968380314
138	0.01946517971
139	0.01922933001
140	0.01901760266
141	0.01881514475
142	0.01861029437
143	0.01840930921
144	0.018212402
145	0.01801920124
146	0.01783176968
147	0.01762661069
148	0.01744605832
149	0.0172485
150	0.01705512876
151	0.01687959401
152	0.01669299674
153	0.0165277242
154	0.0163655391
155	0.01620156317
156	0.01604557176
157	0.01589196709
158	0.01573668138
159	0.01558867192
160	0.01544340619
161	0.01530083311
162	0.01516116327
163	0.01502351911
164	0.01488912448
165	0.01475621262
166	0.01462616861
167	0.01449891921
168	0.01437491938
169	0.01425298242
170	0.01413365622
171	0.01398157774
172	0.01386678939
173	0.01375444937
174	0.01361046576
175	0.01347046914
176	0.01336479583
177	0.01323052246
178	0.01309064477
179	0.01294793829
180	0.0128480529
181	0.0127502846
182	0.01261893454
183	0.01249121126
184	0.01235863599
185	0.01222903583
186	0.01210234161
187	0.01196310824
188	0.01187388579
189	0.01175958738
190	0.01164141536
191	0.01152589893
192	0.01144146405
193	0.01135881111
194	0.01125336369
195	0.01114420254
196	0.01103751701
197	0.01093325007
198	0.01081792222
199	0.01072117238
200	0.01062700283
201	0.01053532362
202	0.01044604903
203	0.01035909738
204	0.01027439078
205	0.01018606233
206	0.01008444678
207	0.009996212254
208	0.009917057047
209	0.009839899479
210	0.009764676369
211	0.009681779545
212	0.009609474479
213	0.009532023141
214	0.00945680623
215	0.009376046327
216	0.00929008141
217	0.009222907837
218	0.00915738615
219	0.009080809034
220	0.009017545713
221	0.008943290424
222	0.008882211035
223	0.008822625538
224	0.008751248486
225	0.008693720584
226	0.008624528425
227	0.008568990834
228	0.008514806484
229	0.008432532919
230	0.008366721906
231	0.008273031682
232	0.008222477753
233	0.008173129009
234	0.00808509348
235	0.008037733012
236	0.007976128899
237	0.007893127995
238	0.00784815031
239	0.007775954617
240	0.007717409921
241	0.00764839416
242	0.007591816276
243	0.007525839968
244	0.007471152323
245	0.007408081395
246	0.007335653515
247	0.007266343188
248	0.007217434469
249	0.00714797757
250	0.007084200561
251	0.007013842424
252	0.006955026556
253	0.006889435352
254	0.006839826837
255	0.006789284599
256	0.006741855962
257	0.006696351132
258	0.006650653468
259	0.0066051854
260	0.006547641396
261	0.006505333532
262	0.00646068461
263	0.006417476619
264	0.006377258312
265	0.006337337537
266	0.006284563286
267	0.006246393438
268	0.006195047512
269	0.006144946905
270	0.006105226487
271	0.006068925273
272	0.006020478914
273	0.005973213535
274	0.005935225757
275	0.005897773581
276	0.005866462432
277	0.00583256697
278	0.005796847923
279	0.005764216427
280	0.005735685312
281	0.005701342469
282	0.005670222202
283	0.005643956979
284	0.005611458759
285	0.005582580885
286	0.005551385348
287	0.005523913729
288	0.005487813163
289	0.005457900521
290	0.0054317629
291	0.005390990398
292	0.005356234592
293	0.005322485756
294	0.005286745047
295	0.005262459226
296	0.00522362694
297	0.005185753952
298	0.005153893789
299	0.00513077366
